Key,Value
Narco-Aura,마취의 오라
Impregnable Shell,난공불락의 껍질
Echolocator,반향정위자
Narco-Crystals,마취 수정
Undeterrable,용맹
Warcry,전투 함성
Myostatin,미오스타틴
Fast Twitch Fibers,속근 섬유
Cold-Blooded,냉혈
Jabber,매복 주먹
Frigid,혹한
Rock Collector,돌 수집가
Paralyzer,매복 포식자
Cowardly,비겁함
Radioactive,방사능
Strength Sucker,완력 흡수자
Toxic Aura,맹독의 오라
Cryo Poison,반사 독침
Nocturnal Sun,밤의 태양
Soul-Crushing,영혼 분쇄
Dreadful,끔찍함
Berserk,광전사
Restful Sleep,편안한 잠
Paralytic Aura,끈끈한 점액
Eternal Shield,영원의 방패
Unstable Genome,불안정한 유전체
Metabolizer,대사 촉진자
Daunting,위압적
Genotoxic,유전독성
First Responder,최초 대응자
Crab Evolution Talent,파급 효과
Snowball,눈덩이
Test Subject,실험체
Quick Fists,빠른 주먹
Sleeping Spores,수면 포자
Lucid,자각몽
Power Drain,힘 흡수
Force-Sucker,생명 흡수자
Reverse World,뒤집힌 세계
Harmony,조화
Underdog,약자의 투지
Delicious,진미
Crippling Disease,불구의 질병
Stamina,지구력
Inspired,고취됨
Caustic,부식성
Vita ex Mortis,죽음에서 피어난 생명
Immune,면역
Incubating,부화 중
Pestiferous,역병성
Predatory Toxin,포식 독소
Toxic Presence,숨은 독침
Hyperspeed,초고속
Iron Will,강철 의지
Zenkai Boost,젠카이 부스트
Resolute,굳건함
Lazy,게으름
Cryo-Sleep,냉동 수면
Bulwark,방벽
Scales Shed,비늘 탈피
Avenger,복수자
Energivore,에너지 포식자
Necrophagous,시체 포식
Hive-Guard,군체 수호자
Sclerocytes,골편세포
Hardening Spores,경화 포자
Heavy Hitter,강타자
Runner,주자
Fear Reflex,공포 반사
Kickstart,시동
Bodyguard,경호원
Defender,수호자
Venom Haste,맹독 가속
Soft Body,연한 몸
Manner Bee,예절 바른 벌
Eusocial,진사회성
Eternal Cycle,보호의 순환
Gluttosis,포식증
Scavenger,청소부
Free Spirit,자유로운 영혼
Defiant,반항
Sleepwalker,몽유병
Slippery,미끄러움
Gourmet,미식가
Bug Eater,벌레 포식자
Leech Venom,거머리 독
Whistly Leaves,휘파람 잎
Lithophagous,암석 포식
Strategic Shield,전략 방패
Buboes,림프절종
Disease Hunter,질병 사냥꾼
Grazer,초식자
Empathy,공감
Tremor Sense,진동 감지
Harsh Frequency,거친 주파수
